기준연월,지역명,방문자 수
202201,서울특별시,4.2796214E7
202202,서울특별시,3.653291E7
202203,서울특별시,4.5534626E7
202204,서울특별시,4.7546308E7
202205,서울특별시,4.9257599E7
202206,서울특별시,4.5495689E7
202207,서울특별시,4.9061779E7
202208,서울특별시,4.6809773E7
202209,서울특별시,4.9975674E7
202210,서울특별시,5.0428808E7
202211,서울특별시,4.7294553E7
202212,서울특별시,4.8371402E7
202201,제주특별자치도,6044829.0
202202,제주특별자치도,5076734.0
202203,제주특별자치도,4829488.0
202204,제주특별자치도,5404632.0
202205,제주특별자치도,5386174.0
202206,제주특별자치도,5873436.0
202207,제주특별자치도,8057212.0
202208,제주특별자치도,6523929.0
202209,제주특별자치도,5053172.0
202210,제주특별자치도,6104759.0
202211,제주특별자치도,5260455.0
202212,제주특별자치도,4804578.0
