시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,방문자수
전주시 완산구,전라북도,전북 전주 한옥마을 [슬로시티],https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=66dba60b-a623-4753-a3b4-76a62fcbbe05,인문(문화/예술/역사),역사관광지,민속마을,7852
순창군,전라북도,순창군 채계산 출렁다리,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=a420605b-7f05-4998-bd55-c19a2f73adeb,인문(문화/예술/역사),건축/조형물,다리/대교,6830
정읍시,전라북도,옥정호 구절초테마공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6dbcc49c-e622-4fc7-8d6e-480c6797b6f8,자연,자연관광지,자연생태관광지,4818
군산시,전라북도,선유도,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f172269f-915a-4b56-a137-eacf3e92338c,자연,자연관광지,섬,4388
정읍시,전라북도,내장산국립공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1e133ad3-a6df-4518-a028-93f5ae9eb085,자연,자연관광지,국립공원,4009
무주군,전라북도,무주 구천동 33경,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6166837d-0d68-4e02-ac27-c14a229f7c95,자연,자연관광지,자연생태관광지,3840
진안군,전라북도,마이산도립공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=c0a41ba5-a6eb-4962-a008-0d3342edaf8c,자연,자연관광지,도립공원,3820
고창군,전라북도,고창읍성,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=380c47b2-2133-4236-8ff9-e14d0b1e14e5,인문(문화/예술/역사),역사관광지,성,3531
군산시,전라북도,군산 신흥동 일본식가옥(히로쓰 가옥),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8c48b9d5-6685-47a3-b54f-7780e1b51313,인문(문화/예술/역사),역사관광지,유적지/사적지,3321
진안군,전라북도,운일암반일암 숲길(진안고원길 9구간),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d8442fb4-848e-4f96-aa75-202037166ae2,레포츠,육상 레포츠,트래킹,3205
