순위,관광지명,주소,분류,
1,전주한옥마을,전북 전주시 완산구 기린대로 99-0,역사유적지,349953
2,익산역,전북 익산시 익산대로 153-0,교통시설,209214
3,롯데몰군산점,전북 군산시 조촌로 130-0,쇼핑몰,155882
4,전주월드컵경기장,전북 전주시 덕진구 기린대로 1055-0,레저스포츠시설,155872
5,선유도해수욕장,전북 군산시 선유도1길 235-0,자연경관(하천/해양),102759
6,소노벨변산,전북 부안군 변산해변로 51-0,콘도미니엄,100675
7,롯데백화점전주점,전북 전주시 완산구 온고을로 2-0,백화점,93731
8,이마트군산점,전북 군산시 구암3.1로 137-0,대형마트,87325
9,한국도로공사 수목원,전북 전주시 덕진구,자연공원,82172
10,채석강,전북 부안군,기타관광,82076
11,선운사,전북 고창군 선운사로 250-0,종교성지,80343
12,광한루원,전북 남원시 요천로 1447-0,기타관광,79816
13,전주동물원,전북 전주시 덕진구 소리로 68-0,테마공원,76454
14,무주덕유산리조트,전북 무주군 만선로 185-0,콘도미니엄,76016
15,라마다전주호텔,전북 전주시 완산구 팔달로 227-0,호텔,75813
16,롯데마트군산점,전북 군산시 수송로 185-0,대형마트,69463
17,비응항,전북 군산시,교통시설,67435
18,이마트전주점,전북 전주시 완산구 당산로 111-0,대형마트,62535
19,남부시장,전북 전주시 완산구 풍남문2길 63-0,시장,60057
20,변산해수욕장,전북 부안군,자연경관(하천/해양),58740
21,군산CC,전북 군산시 남군산로 1911-13,육상레저스포츠,58698
22,격포항,전북 부안군 격포중앙길 28-7,자연경관(하천/해양),58168
23,전주역,전북 전주시 덕진구 동부대로 680-0,교통시설,56923
24,선유도,전북 군산시 선유남길 34-22,자연경관(하천/해양),54669
25,은파호수공원,전북 군산시 은파순환길 9-0,도시공원,53084
26,이마트익산점,전북 익산시 평동로 705-0,대형마트,52399
27,CGV전주고사,전북 전주시 완산구 전주객사3길 72-0,공연시설,48978
28,더메이호텔,전북 전주시 덕진구 기린대로 800-0,호텔,46374
29,전주덕진공원,전북 전주시 덕진구 권삼득로 390-0,도시공원,45515
30,군산공항,전북 군산시 산동길 2-0,교통시설,44634
31,라한호텔전주,전북 전주시 완산구 기린대로 85-0,호텔,43777
32,금산사,전북 김제시 모악15길 1-0,종교성지,43190
33,대둔산케이블카,전북 완주군 대둔산공원길 55-0,기타관광,40271
34,내소사,전북 부안군 내소사로 243-0,종교성지,40181
35,홈플러스전주효자점,전북 전주시 완산구 용머리로 31-0,대형마트,37290
36,에이본호텔군산,전북 군산시 해망로 10-0,호텔,37236
37,구시포해수욕장,전북 고창군,자연경관(하천/해양),35835
38,골프존카운티드래곤,전북 남원시 대사로 500-0,육상레저스포츠,35162
39,군산공설시장,전북 군산시 신금길 18-0,시장,34923
40,클럽디금강,전북 익산시 강변로 130-0,육상레저스포츠,34691
41,스위트호텔남원,전북 남원시 원천로 217-0,호텔,33656
42,강천산군립공원,전북 순창군,자연공원,33624
43,곰소항,전북 부안군 곰소항길 62-5,자연경관(하천/해양),32343
44,롯데마트익산점,전북 익산시 무왕로 1053-0,대형마트,30966
45,롯데마트전주점,전북 전주시 완산구 우전로 240-0,대형마트,30813
46,군산수산물종합센터휴업중(2023년01월개장예정),전북 군산시 내항2길 216-0,시장,30520
47,그랜드힐스턴호텔,전북 전주시 완산구 서곡5길 22-5,호텔,30360
48,롯데마트맥스송천점,전북 전주시 덕진구 송천중앙로 82-0,대형마트,30099
49,국립전주박물관,전북 전주시 완산구 쑥고개로 249-0,전시시설,29201
