순위,관광지명,주소,분류,현지인 검색 수
1,익산역,전북 익산시 익산대로 153-0,교통시설,75240
2,롯데몰군산점,전북 군산시 조촌로 130-0,쇼핑몰,56938
3,전주월드컵경기장,전북 전주시 덕진구 기린대로 1055-0,레저스포츠시설,56170
4,롯데마트군산점,전북 군산시 수송로 185-0,대형마트,34078
5,이마트군산점,전북 군산시 구암3.1로 137-0,대형마트,31706
6,전주한옥마을,전북 전주시 완산구 기린대로 99-0,역사유적지,30592
7,롯데백화점전주점,전북 전주시 완산구 온고을로 2-0,백화점,27350
8,이마트익산점,전북 익산시 평동로 705-0,대형마트,24715
9,전주역,전북 전주시 덕진구 동부대로 680-0,교통시설,22423
10,이마트전주점,전북 전주시 완산구 당산로 111-0,대형마트,21891
11,홈플러스전주효자점,전북 전주시 완산구 용머리로 31-0,대형마트,16670
12,롯데마트익산점,전북 익산시 무왕로 1053-0,대형마트,15387
13,한국도로공사 수목원,전북 전주시 덕진구,자연공원,15102
14,소노벨변산,전북 부안군 변산해변로 51-0,콘도미니엄,14497
15,군산공항,전북 군산시 산동길 2-0,교통시설,14134
16,CGV전주고사,전북 전주시 완산구 전주객사3길 72-0,공연시설,13632
17,선유도해수욕장,전북 군산시 선유도1길 235-0,자연경관(하천/해양),13159
18,비응항,전북 군산시,교통시설,12867
19,롯데마트전주점,전북 전주시 완산구 우전로 240-0,대형마트,12517
20,군산공설시장,전북 군산시 신금길 18-0,시장,11922
21,정읍역,전북 정읍시 서부산업도로 305-0,교통시설,11534
22,더메이호텔,전북 전주시 덕진구 기린대로 800-0,호텔,11442
23,은파호수공원,전북 군산시 은파순환길 9-0,도시공원,10750
24,군산CC,전북 군산시 남군산로 1911-13,육상레저스포츠,10447
25,남부시장,전북 전주시 완산구 풍남문2길 63-0,시장,10208
26,롯데마트맥스송천점,전북 전주시 덕진구 송천중앙로 82-0,대형마트,10138
27,전주동물원,전북 전주시 덕진구 소리로 68-0,테마공원,9712
28,격포항,전북 부안군 격포중앙길 28-7,자연경관(하천/해양),9564
29,무주덕유산리조트,전북 무주군 만선로 185-0,콘도미니엄,9444
30,국립전주박물관,전북 전주시 완산구 쑥고개로 249-0,전시시설,9213
31,전주고속버스터미널,전북 전주시 덕진구 가리내로 70-0,교통시설,8682
32,선운사,전북 고창군 선운사로 250-0,종교성지,8632
33,라마다전주호텔,전북 전주시 완산구 팔달로 227-0,호텔,8604
34,롯데시네마익산모현,전북 익산시 선화로 77-0,공연시설,8556
35,풍패지관,전북 전주시 완산구 충경로 59-0,역사유적지,8274
36,전주덕진공원,전북 전주시 덕진구 권삼득로 390-0,도시공원,8125
37,이마트에코시티점,전북 전주시 덕진구 세병서로 9-0,대형마트,8027
38,채석강,전북 부안군,기타관광,7914
39,NC웨이브전주점A관,전북 전주시 완산구 전주객사5길 35-0,백화점,7851
40,김제역,전북 김제시 두월로 198-0,교통시설,7594
41,클럽디금강,전북 익산시 강변로 130-0,육상레저스포츠,7572
42,호남제일문,전북 전주시 덕진구,기타관광,7471
43,그랜드힐스턴호텔,전북 전주시 완산구 서곡5길 22-5,호텔,7133
44,서동공원,전북 익산시 고도9길 41-14,도시공원,6945
45,홈플러스김제점,전북 김제시 금성로 114-0,대형마트,6866
46,골프존카운티드래곤,전북 남원시 대사로 500-0,육상레저스포츠,6766
47,홈플러스익산점,전북 익산시 무왕로 1035-0,대형마트,6749
48,홈플러스전주점,전북 전주시 덕진구 백제대로 771-0,대형마트,6746
49,전주시외버스공용터미널,전북 전주시 덕진구 가리내로 30-0,교통시설,6707
50,신중앙시장,전북 전주시 완산구 태평5길 29-19,시장,6615
51,덕진광장,전북 전주시 덕진구 덕진광장로 3-0,도시공원,6527
52,미륵사지,전북 익산시 미륵사지로 362-0,역사유적지,6474
53,광한루원,전북 남원시 요천로 1447-0,기타관광,6342
54,변산해수욕장,전북 부안군,자연경관(하천/해양),6276
55,홈플러스전주완산점,전북 전주시 완산구 기린대로 170-0,대형마트,6073
56,라한호텔전주,전북 전주시 완산구 기린대로 85-0,호텔,6040
57,중앙체육공원,전북 익산시 하나로 322-0,도시공원,5972
58,중앙시장,전북 전주시 완산구 태평3길 70-0,시장,5919
59,완산생활체육공원,전북 전주시 완산구 모악산자락길 22-0,도시공원,5885
60,에이본호텔군산,전북 군산시 해망로 10-0,호텔,5874
61,하나로마트전주점,전북 전주시 덕진구 비석날로 20-0,대형마트,5854
62,중앙시장,전북 익산시 중앙로3길 27-0,시장,5754
63,금산사,전북 김제시 모악15길 1-0,종교성지,5745
64,롯데마트정읍점,전북 정읍시 벚꽃로 85-0,대형마트,5565
