티맵카테고리중분류명,티맵카테고리중분류명,유형별 검색건수,유형별 검색건수 비율
자연관광,자연생태,7693,0.0
자연관광,자연공원,315204,1.9
자연관광,자연경관(하천/해양),1125918,6.7
자연관광,자연경관(산),119604,0.7
역사관광,종교성지,731571,4.3
역사관광,역사유적지,293146,1.7
역사관광,역사유물,4397,0.0
체험관광,공예체험,354,0.0
체험관광,농/산/어촌체험,65366,0.4
체험관광,웰니스관광,41373,0.2
문화관광,공연시설,119146,0.7
문화관광,테마공원,234477,1.4
문화관광,전시시설,312076,1.9
문화관광,복합관광시설,170113,1.0
문화관광,레저스포츠시설,29108,0.2
문화관광,랜드마크관광,193296,1.1
문화관광,도시공원,607941,3.6
문화관광,기타문화관광지,247905,1.5
문화관광,도시/지역문화관광,1368,0.0
레저스포츠,육상레저스포츠,693769,4.1
레저스포츠,기타레저스포츠,102312,0.6
레저스포츠,항공레저스포츠,2242,0.0
레저스포츠,수상레저스포츠,28812,0.2
쇼핑,시장,497095,3.0
쇼핑,대형마트,389703,2.3
쇼핑,기타쇼핑시설,1053,0.0
쇼핑,쇼핑몰,140111,0.8
쇼핑,백화점,32661,0.2
쇼핑,전문매장/상가,18,0.0
음식,외국식,223676,1.3
음식,음식점기타,146895,0.9
음식,전문음식,1108409,6.6
음식,한식,2465845,14.6
음식,카페/찻집,1179531,7.0
음식,간이음식,628666,3.7
숙박,호스텔,35683,0.2
숙박,호텔,705778,4.2
숙박,펜션/민박,573556,3.4
숙박,콘도미니엄,451205,2.7
숙박,캠핑,159943,0.9
숙박,기타숙박,25430,0.2
숙박,모텔,568543,3.4
기타관광,교통시설,1052459,6.2
기타관광,기타관광,916701,5.4
기타관광,데이트코스,94534,0.6
