순위,관광지명,주소,분류,외지인 검색 수
1,이순신광장,전남 여수시,도시공원,161742
2,죽녹원,전남 담양군 죽녹원로 119-0,자연공원,138156
3,화엄사,전남 구례군 화엄사로 539-0,종교성지,134024
4,쏠비치진도,전남 진도군 송군길 30-40,콘도미니엄,132364
5,순천만국가정원,전남 순천시 국가정원1호길 47-0,기타관광,111020
6,오동도,전남 여수시 오동도로 222-0,자연경관(하천/해양),106573
7,완도항여객선터미널,전남 완도군 장보고대로 339-0,교통시설,102018
8,여수해상케이블카놀아정류장,전남 여수시 돌산로 3600-1,기타관광,100881
9,향일암,전남 여수시 향일암로 1-0,종교성지,91193
10,목포해상케이블카북항승강장,전남 목포시 해양대학로 240-0,기타관광,84208
11,아쿠아플라넷여수,전남 여수시 오동도로 61-11,테마공원,82161
12,LF스퀘어광양점,전남 광양시 순광로 466-0,쇼핑몰,68286
13,여수예술랜드,전남 여수시 무술목길 142-1,기타레저스포츠,63968
14,목포연안여객선터미널,전남 목포시 해안로 182-0,교통시설,60014
15,여수공항,전남 여수시 여순로 386-0,교통시설,59132
16,호남해안로드4코스영광백수해안도로,전남 영광군,데이트코스,58608
17,평화광장,전남 목포시 평화로 62-0,도시공원,57603
18,순천만습지,전남 순천시 순천만길 513-25,기타관광,56047
19,섬진강기차마을,전남 곡성군 기차마을로 232-0,기타관광,53065
20,백양사,전남 장성군 백양로 1239-0,종교성지,53039
21,녹동항,전남 고흥군 비봉로 159-0,자연경관(하천/해양),52762
22,메타프로방스,전남 담양군 메타프로방스1길 17-0,복합관광시설,51874
23,여수수산시장,전남 여수시 여객선터미널길 24-0,시장,50900
24,대흥사,전남 해남군 대흥사길 400-0,종교성지,50506
25,여수라마다프라자호텔,전남 여수시 강남로 11-0,호텔,49346
26,낙안읍성민속마을,전남 순천시 충민길 30-0,역사유적지,42860
27,베네치아호텔앤리조트여수,전남 여수시 오동도로 61-13,호텔,41728
28,율포해수욕장,전남 보성군 우암길 24-0,자연경관(하천/해양),41180
29,유월드루지테마파크,전남 여수시 안심산길 155-0,테마공원,38887
30,유탑마리나호텔&리조트,전남 여수시 오동도로 61-15,호텔,38816
31,라테라스리조트&스파,전남 여수시 진모1길 29-12,콘도미니엄,38464
32,여수연안여객선터미널,전남 여수시 여객선터미널길 17-0,교통시설,38322
33,메타세쿼이아가로수길,전남 담양군,기타관광,37436
34,담양관방제림,전남 담양군,역사유적지,37219
35,진도항,전남 진도군 진도항길 101-0,자연경관(하천/해양),36501
36,목포항국제여객터미널,전남 목포시 해안로148번길 14-0,교통시설,35700
37,이마트목포점,전남 목포시 옥암로 138-0,대형마트,35121
38,이마트순천점,전남 순천시 팔마로 191-0,대형마트,33959
39,돌머리해변,전남 함평군,자연경관(하천/해양),33621
40,불갑사,전남 영광군 불갑사로 450-0,종교성지,33282
41,쌍산재,전남 구례군 장수길 3-2,펜션/민박,32492
42,디오션리조트,전남 여수시 소호로 295-0,콘도미니엄,32336
43,이마트여수점,전남 여수시 좌수영로 277-0,대형마트,32330
44,선암사,전남 순천시 선암사길 450-0,종교성지,32263
45,다산베아채CC,전남 강진군 학장용산길 101-0,육상레저스포츠,31904
46,보성녹차밭,전남 보성군,기타관광,31424
47,돌산공원,전남 여수시,도시공원,29947
48,송광사,전남 순천시 송광사안길 100-0,종교성지,29861
49,아르떼뮤지엄여수,전남 여수시 박람회길 1-0,전시시설,29359
50,목포역,전남 목포시 영산로 98-0,교통시설,28707
51,무안CC,전남 무안군,육상레저스포츠,28613
52,녹동신항연안여객선터미널,전남 고흥군 비봉로 266-16,교통시설,28339
53,여수수산물특화시장,전남 여수시 남산로 60-31,시장,26559
54,푸른솔GC,전남 장성군 임정로 155-0,육상레저스포츠,26176
55,호텔현대바이라한목포,전남 영암군 대불로 91-0,호텔,25829
56,롯데마트여수점,전남 여수시 국포1로 36-0,대형마트,25615
57,노고단,전남 구례군,자연경관(산),25541
58,메타세콰이어길,전남 담양군,데이트코스,25314
59,신지명사십리해수욕장,전남 완도군 명사십리길 85-105,자연경관(하천/해양),24973
60,사성암,전남 구례군 사성암길 303-0,종교성지,24243
61,곡성세계장미축제,전남 곡성군 기차마을로 252-16,기타문화관광지,24116
62,순천역,전남 순천시 팔마로 135-0,교통시설,23895
63,목포북항,전남 목포시,자연경관(하천/해양),23575
64,장성황룡강노란꽃잔치,전남 장성군,기타문화관광지,23466
65,골드레이크CC,전남 나주시 나주호로 442-129,육상레저스포츠,23269
66,엘도라도리조트,전남 신안군 지도증도로 1766-15,콘도미니엄,22970
67,롯데마트여천점,전남 여수시 무선로 187-0,대형마트,22931
68,사우스링스영암CC짐앵,전남 영암군 에프원로 121-1,육상레저스포츠,22495
69,중흥골드스파리조트,전남 나주시 나주호로 558-314,콘도미니엄,22480
70,해피니스컨트리클럽,전남 나주시 다도로 171-60,육상레저스포츠,22201
71,운주사,전남 화순군 천태로 91-44,종교성지,21686
72,정남진장흥토요시장,전남 장흥군 토요시장1길 53-0,시장,20747
73,아크로CC,전남 영암군 안적동길 403-0,육상레저스포츠,20679
74,땅끝전망대,전남 해남군 땅끝마을길 100-0,랜드마크관광,20660
75,JNJ골프리조트,전남 장흥군 제산기동로 326-0,육상레저스포츠,20535
76,왕인박사유적지,전남 영암군 왕인로 440-0,역사유적지,20392
77,금호리조트화순,전남 화순군 옥리길 14-21,콘도미니엄,20186
78,무등산CC,전남 화순군,육상레저스포츠,19996
79,소쇄원,전남 담양군 소쇄원길 17-0,역사유적지,19882
80,운림산방,전남 진도군 운림산방로 315-0,역사유적지,19516
81,호텔헤이븐,전남 여수시 진두해안길 131-0,호텔,19455
82,마량항,전남 강진군 미항로 169-0,자연경관(하천/해양),19449
83,신기항여객터미널,전남 여수시 신기길 90-0,교통시설,19256
84,롯데마트맥스목포점,전남 목포시 원형서로 15-0,대형마트,18718
85,천은사,전남 구례군 노고단로 209-0,종교성지,18571
86,나로우주센터우주과학관,전남 고흥군 하반로 490-0,전시시설,18325
87,파인비치골프링크스,전남 해남군 시아로 224-0,육상레저스포츠,18232
88,지리산치즈랜드,전남 구례군 산업로 1590-62,농/산/어촌체험,18123
89,용당부두,전남 영암군 용당부두길 50-0,자연경관(하천/해양),18116
90,NC백화점순천점,전남 순천시 비봉2길 22-0,백화점,18098
91,퍼플교,전남 신안군,기타관광,17690
92,함평엘리체CC,전남 함평군 서당매길 242-0,육상레저스포츠,17524
93,신안비치호텔,전남 목포시 해안로 2-1,호텔,17251
94,암태남강선착장,전남 신안군 중부로 1502-80,교통시설,17203
95,와온해변,전남 순천시,자연경관(하천/해양),16936
96,순천오픈세트장,전남 순천시 비례골길 24-0,기타관광,16887
97,함평나비대축제,전남 함평군 곤재로 27-0,기타문화관광지,16861
