순위,관광지명,주소,분류,
1,이순신광장,전남 여수시,도시공원,196486
2,쏠비치진도,전남 진도군 송군길 30-40,콘도미니엄,158542
3,죽녹원,전남 담양군 죽녹원로 119-0,자연공원,152012
4,화엄사,전남 구례군 화엄사로 539-0,종교성지,147104
5,순천만국가정원,전남 순천시 국가정원1호길 47-0,기타관광,131123
6,오동도,전남 여수시 오동도로 222-0,자연경관(하천/해양),125177
7,완도항여객선터미널,전남 완도군 장보고대로 339-0,교통시설,122922
8,여수해상케이블카놀아정류장,전남 여수시 돌산로 3600-1,기타관광,118218
9,향일암,전남 여수시 향일암로 1-0,종교성지,111393
10,아쿠아플라넷여수,전남 여수시 오동도로 61-11,테마공원,97113
11,목포해상케이블카북항승강장,전남 목포시 해양대학로 240-0,기타관광,95018
12,LF스퀘어광양점,전남 광양시 순광로 466-0,쇼핑몰,94977
13,여수공항,전남 여수시 여순로 386-0,교통시설,81648
14,여수예술랜드,전남 여수시 무술목길 142-1,기타레저스포츠,79235
15,목포연안여객선터미널,전남 목포시 해안로 182-0,교통시설,76954
16,평화광장,전남 목포시 평화로 62-0,도시공원,70852
17,녹동항,전남 고흥군 비봉로 159-0,자연경관(하천/해양),64388
18,순천만습지,전남 순천시 순천만길 513-25,기타관광,63209
19,호남해안로드4코스영광백수해안도로,전남 영광군,데이트코스,62940
20,여수수산시장,전남 여수시 여객선터미널길 24-0,시장,61702
21,백양사,전남 장성군 백양로 1239-0,종교성지,59685
22,여수라마다프라자호텔,전남 여수시 강남로 11-0,호텔,59544
23,이마트순천점,전남 순천시 팔마로 191-0,대형마트,59342
24,대흥사,전남 해남군 대흥사길 400-0,종교성지,59110
25,메타프로방스,전남 담양군 메타프로방스1길 17-0,복합관광시설,57120
26,이마트목포점,전남 목포시 옥암로 138-0,대형마트,57062
27,섬진강기차마을,전남 곡성군 기차마을로 232-0,기타관광,56778
28,낙안읍성민속마을,전남 순천시 충민길 30-0,역사유적지,51270
29,베네치아호텔앤리조트여수,전남 여수시 오동도로 61-13,호텔,49825
30,이마트여수점,전남 여수시 좌수영로 277-0,대형마트,49094
31,여수연안여객선터미널,전남 여수시 여객선터미널길 17-0,교통시설,48262
32,유탑마리나호텔&리조트,전남 여수시 오동도로 61-15,호텔,47904
33,유월드루지테마파크,전남 여수시 안심산길 155-0,테마공원,47684
34,라테라스리조트&스파,전남 여수시 진모1길 29-12,콘도미니엄,46449
35,목포역,전남 목포시 영산로 98-0,교통시설,46301
36,율포해수욕장,전남 보성군 우암길 24-0,자연경관(하천/해양),46251
37,진도항,전남 진도군 진도항길 101-0,자연경관(하천/해양),44672
38,목포항국제여객터미널,전남 목포시 해안로148번길 14-0,교통시설,42437
39,롯데마트여천점,전남 여수시 무선로 187-0,대형마트,41867
40,메타세쿼이아가로수길,전남 담양군,기타관광,41270
41,선암사,전남 순천시 선암사길 450-0,종교성지,40802
42,담양관방제림,전남 담양군,역사유적지,40719
43,다산베아채CC,전남 강진군 학장용산길 101-0,육상레저스포츠,40604
44,순천역,전남 순천시 팔마로 135-0,교통시설,40221
45,디오션리조트,전남 여수시 소호로 295-0,콘도미니엄,40093
46,녹동신항연안여객선터미널,전남 고흥군 비봉로 266-16,교통시설,38276
47,불갑사,전남 영광군 불갑사로 450-0,종교성지,38223
48,롯데마트여수점,전남 여수시 국포1로 36-0,대형마트,37089
49,돌머리해변,전남 함평군,자연경관(하천/해양),36348
50,아르떼뮤지엄여수,전남 여수시 박람회길 1-0,전시시설,35887
51,쌍산재,전남 구례군 장수길 3-2,펜션/민박,35776
52,송광사,전남 순천시 송광사안길 100-0,종교성지,35671
53,돌산공원,전남 여수시,도시공원,35603
54,무안CC,전남 무안군,육상레저스포츠,34984
55,보성녹차밭,전남 보성군,기타관광,33595
56,여수수산물특화시장,전남 여수시 남산로 60-31,시장,32692
57,NC백화점순천점,전남 순천시 비봉2길 22-0,백화점,32661
58,푸른솔GC,전남 장성군 임정로 155-0,육상레저스포츠,30652
59,목포북항,전남 목포시,자연경관(하천/해양),30375
60,호텔현대바이라한목포,전남 영암군 대불로 91-0,호텔,29403
61,신지명사십리해수욕장,전남 완도군 명사십리길 85-105,자연경관(하천/해양),28583
62,용당부두,전남 영암군 용당부두길 50-0,자연경관(하천/해양),28392
63,홈플러스광양점,전남 광양시 항만11로 70-0,대형마트,28015
64,노고단,전남 구례군,자연경관(산),27968
65,골드레이크CC,전남 나주시 나주호로 442-129,육상레저스포츠,27497
66,메타세콰이어길,전남 담양군,데이트코스,27340
67,사우스링스영암CC짐앵,전남 영암군 에프원로 121-1,육상레저스포츠,27168
68,엘도라도리조트,전남 신안군 지도증도로 1766-15,콘도미니엄,27167
