순위,관광지명,주소,분류,현지인 검색 수
1,이순신광장,전남 여수시,도시공원,34744
2,LF스퀘어광양점,전남 광양시 순광로 466-0,쇼핑몰,26691
3,쏠비치진도,전남 진도군 송군길 30-40,콘도미니엄,26178
4,이마트순천점,전남 순천시 팔마로 191-0,대형마트,25383
5,여수공항,전남 여수시 여순로 386-0,교통시설,22516
6,이마트목포점,전남 목포시 옥암로 138-0,대형마트,21941
7,완도항여객선터미널,전남 완도군 장보고대로 339-0,교통시설,20904
8,향일암,전남 여수시 향일암로 1-0,종교성지,20200
9,순천만국가정원,전남 순천시 국가정원1호길 47-0,기타관광,20103
10,롯데마트여천점,전남 여수시 무선로 187-0,대형마트,18936
11,오동도,전남 여수시 오동도로 222-0,자연경관(하천/해양),18604
12,목포역,전남 목포시 영산로 98-0,교통시설,17594
13,여수해상케이블카놀아정류장,전남 여수시 돌산로 3600-1,기타관광,17337
14,목포연안여객선터미널,전남 목포시 해안로 182-0,교통시설,16940
15,이마트여수점,전남 여수시 좌수영로 277-0,대형마트,16764
16,순천역,전남 순천시 팔마로 135-0,교통시설,16326
17,여수예술랜드,전남 여수시 무술목길 142-1,기타레저스포츠,15267
18,아쿠아플라넷여수,전남 여수시 오동도로 61-11,테마공원,14952
19,NC백화점순천점,전남 순천시 비봉2길 22-0,백화점,14563
20,죽녹원,전남 담양군 죽녹원로 119-0,자연공원,13856
21,평화광장,전남 목포시 평화로 62-0,도시공원,13249
22,화엄사,전남 구례군 화엄사로 539-0,종교성지,13080
23,홈플러스광양점,전남 광양시 항만11로 70-0,대형마트,12582
24,CGV순천신대,전남 순천시 해광로 199-0,공연시설,12535
25,목포종합버스터미널,전남 목포시 영산로 525-0,교통시설,12338
26,녹동항,전남 고흥군 비봉로 159-0,자연경관(하천/해양),11626
27,롯데마트여수점,전남 여수시 국포1로 36-0,대형마트,11474
28,목포해상케이블카북항승강장,전남 목포시 해양대학로 240-0,기타관광,10810
29,여수수산시장,전남 여수시 여객선터미널길 24-0,시장,10802
30,홈플러스순천점,전남 순천시 신월큰길 10-0,대형마트,10742
31,용당부두,전남 영암군 용당부두길 50-0,자연경관(하천/해양),10276
32,여수라마다프라자호텔,전남 여수시 강남로 11-0,호텔,10198
33,여수연안여객선터미널,전남 여수시 여객선터미널길 17-0,교통시설,9940
34,녹동신항연안여객선터미널,전남 고흥군 비봉로 266-16,교통시설,9937
35,여수엑스포역,전남 여수시 망양로 2-0,교통시설,9606
36,유탑마리나호텔&리조트,전남 여수시 오동도로 61-15,호텔,9088
37,유월드루지테마파크,전남 여수시 안심산길 155-0,테마공원,8797
38,다산베아채CC,전남 강진군 학장용산길 101-0,육상레저스포츠,8700
39,대흥사,전남 해남군 대흥사길 400-0,종교성지,8604
40,선암사,전남 순천시 선암사길 450-0,종교성지,8539
41,낙안읍성민속마을,전남 순천시 충민길 30-0,역사유적지,8410
42,진도항,전남 진도군 진도항길 101-0,자연경관(하천/해양),8171
43,롯데마트맥스목포점,전남 목포시 원형서로 15-0,대형마트,8151
44,베네치아호텔앤리조트여수,전남 여수시 오동도로 61-13,호텔,8097
45,와온해변,전남 순천시,자연경관(하천/해양),8018
46,라테라스리조트&스파,전남 여수시 진모1길 29-12,콘도미니엄,7985
47,디오션리조트,전남 여수시 소호로 295-0,콘도미니엄,7757
48,나주역,전남 나주시 나주역길 56-0,교통시설,7632
49,순천만습지,전남 순천시 순천만길 513-25,기타관광,7162
50,신기항여객터미널,전남 여수시 신기길 90-0,교통시설,7158
51,무안국제공항,전남 무안군 공항로 970-260,교통시설,7085
52,목포북항,전남 목포시,자연경관(하천/해양),6800
53,목포항국제여객터미널,전남 목포시 해안로148번길 14-0,교통시설,6737
54,순천아랫장,전남 순천시 장평로 60-0,시장,6660
55,백양사,전남 장성군 백양로 1239-0,종교성지,6646
56,아르떼뮤지엄여수,전남 여수시 박람회길 1-0,전시시설,6528
57,웃장,전남 순천시 북문길 40-0,시장,6500
58,순천종합버스터미널,전남 순천시 장천3길 13-0,교통시설,6401
59,무안CC,전남 무안군,육상레저스포츠,6371
60,당목항,전남 완도군 당목길 0-0,교통시설,6333
61,땅끝선착장,전남 해남군 땅끝마을길 70-14,교통시설,6174
62,골프존카운티순천,전남 순천시 행정1길 77-0,육상레저스포츠,6148
63,여수수산물특화시장,전남 여수시 남산로 60-31,시장,6133
64,암태남강선착장,전남 신안군 중부로 1502-80,교통시설,5857
65,송광사,전남 순천시 송광사안길 100-0,종교성지,5810
66,홈플러스순천풍덕점,전남 순천시 팔마로 222-0,대형마트,5782
67,돌산공원,전남 여수시,도시공원,5656
68,중마시장,전남 광양시 중마중앙로 88-0,시장,5508
69,순천시농산물도매시장,전남 순천시 해광로 1-0,시장,5414
70,메타프로방스,전남 담양군 메타프로방스1길 17-0,복합관광시설,5246
71,몰오브광양,전남 광양시 금호로 26-0,쇼핑몰,5238
72,롯데마트나주점,전남 나주시 내동길 15-0,대형마트,5189
73,롯데아울렛남악점,전남 무안군 남악로162번길 80-0,쇼핑몰,5122
74,율포해수욕장,전남 보성군 우암길 24-0,자연경관(하천/해양),5071
75,불갑사,전남 영광군 불갑사로 450-0,종교성지,4941
76,파인힐스CC,전남 순천시 송광사길 99-0,육상레저스포츠,4924
77,해피니스컨트리클럽,전남 나주시 다도로 171-60,육상레저스포츠,4921
78,홈플러스목포점,전남 목포시 영산로 313-0,대형마트,4787
79,사우스링스영암CC짐앵,전남 영암군 에프원로 121-1,육상레저스포츠,4673
80,진남관공사중(2023년12월완공예정),전남 여수시 동문로 11-0,역사유적지,4603
81,청호시장,전남 목포시 석현로 28-0,시장,4586
82,중흥골드스파리조트,전남 나주시 나주호로 558-314,콘도미니엄,4495
83,푸른솔GC,전남 장성군 임정로 155-0,육상레저스포츠,4476
84,운림산방,전남 진도군 운림산방로 315-0,역사유적지,4367
85,백야선착장,전남 여수시 백야해안길 0-0,교통시설,4358
86,호남해안로드4코스영광백수해안도로,전남 영광군,데이트코스,4332
87,영광종합버스터미널,전남 영광군 신남로 180-0,교통시설,4291
88,호텔헤이븐,전남 여수시 진두해안길 131-0,호텔,4288
89,CGV나주,전남 나주시 상야4길 16-16,공연시설,4284
90,무안회산백련지,전남 무안군 백련로 333-0,자연경관(하천/해양),4263
91,골드레이크CC,전남 나주시 나주호로 442-129,육상레저스포츠,4228
92,엘도라도리조트,전남 신안군 지도증도로 1766-15,콘도미니엄,4197
93,히든베이호텔,전남 여수시 신월로 496-25,호텔,4134
94,국립나주박물관,전남 나주시 고분로 747-0,전시시설,4116
95,국동항,전남 여수시,자연경관(하천/해양),4112
96,디오션CC,전남 여수시,육상레저스포츠,4092
97,JNJ골프리조트,전남 장흥군 제산기동로 326-0,육상레저스포츠,4074
98,장성역,전남 장성군 역전로 87-0,교통시설,4020
99,웅천친수공원,전남 여수시 예울마루로 37-40,도시공원,3879
100,메타세쿼이아가로수길,전남 담양군,기타관광,3834
