기초지자체,티맵카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
강진군,기타관광,330349,2.0,36635,11.1
강진군,레저스포츠,330349,2.0,41361,12.5
강진군,문화관광,330349,2.0,34367,10.4
강진군,쇼핑,330349,2.0,8765,2.7
강진군,숙박,330349,2.0,28410,8.6
강진군,역사관광,330349,2.0,61095,18.5
강진군,음식,330349,2.0,63904,19.3
강진군,자연관광,330349,2.0,53629,16.2
강진군,체험관광,330349,2.0,2183,0.7
고흥군,기타관광,452961,2.7,65290,14.4
고흥군,레저스포츠,452961,2.7,6830,1.5
고흥군,문화관광,452961,2.7,58506,12.9
고흥군,쇼핑,452961,2.7,10270,2.3
고흥군,숙박,452961,2.7,62593,13.8
고흥군,역사관광,452961,2.7,5816,1.3
고흥군,음식,452961,2.7,66248,14.6
고흥군,자연관광,452961,2.7,175344,38.7
고흥군,체험관광,452961,2.7,2064,0.5
곡성군,기타관광,254981,1.5,68720,27.0
곡성군,레저스포츠,254981,1.5,23575,9.2
곡성군,문화관광,254981,1.5,43510,17.1
곡성군,쇼핑,254981,1.5,7794,3.1
곡성군,숙박,254981,1.5,26886,10.5
곡성군,역사관광,254981,1.5,11323,4.4
곡성군,음식,254981,1.5,67305,26.4
곡성군,자연관광,254981,1.5,5670,2.2
곡성군,체험관광,254981,1.5,198,0.1
광양시,기타관광,674140,4.0,19326,2.9
광양시,레저스포츠,674140,4.0,11089,1.6
광양시,문화관광,674140,4.0,61571,9.1
광양시,쇼핑,674140,4.0,159713,23.7
광양시,숙박,674140,4.0,102804,15.2
광양시,역사관광,674140,4.0,5141,0.8
광양시,음식,674140,4.0,262750,39.0
광양시,자연관광,674140,4.0,36970,5.5
광양시,체험관광,674140,4.0,14776,2.2
구례군,기타관광,639793,3.8,26825,4.2
구례군,레저스포츠,639793,3.8,5236,0.8
구례군,문화관광,639793,3.8,48897,7.6
구례군,쇼핑,639793,3.8,16073,2.5
구례군,숙박,639793,3.8,110440,17.3
구례군,역사관광,639793,3.8,205769,32.2
구례군,음식,639793,3.8,152052,23.8
구례군,자연관광,639793,3.8,45318,7.1
구례군,체험관광,639793,3.8,29183,4.6
나주시,기타관광,776625,4.6,36243,4.7
나주시,레저스포츠,776625,4.6,74792,9.6
나주시,문화관광,776625,4.6,85637,11.0
나주시,쇼핑,776625,4.6,32334,4.2
나주시,숙박,776625,4.6,92762,11.9
나주시,역사관광,776625,4.6,20407,2.6
나주시,음식,776625,4.6,418305,53.9
나주시,자연관광,776625,4.6,12093,1.6
나주시,체험관광,776625,4.6,4052,0.5
담양군,기타관광,1290475,7.7,83080,6.4
담양군,레저스포츠,1290475,7.7,39428,3.1
담양군,문화관광,1290475,7.7,107815,8.4
담양군,쇼핑,1290475,7.7,17170,1.3
담양군,숙박,1290475,7.7,104885,8.1
담양군,역사관광,1290475,7.7,76972,6.0
담양군,음식,1290475,7.7,667782,51.7
담양군,자연관광,1290475,7.7,181928,14.1
담양군,체험관광,1290475,7.7,11415,0.9
목포시,기타관광,1614922,9.6,347766,21.5
목포시,레저스포츠,1614922,9.6,6613,0.4
목포시,문화관광,1614922,9.6,221182,13.7
목포시,쇼핑,1614922,9.6,168154,10.4
목포시,숙박,1614922,9.6,223594,13.8
목포시,역사관광,1614922,9.6,2171,0.1
목포시,음식,1614922,9.6,580704,36.0
목포시,자연관광,1614922,9.6,64241,4.0
목포시,체험관광,1614922,9.6,497,0.0
무안군,기타관광,522013,3.1,42794,8.2
무안군,레저스포츠,522013,3.1,52786,10.1
무안군,문화관광,522013,3.1,42652,8.2
무안군,쇼핑,522013,3.1,50023,9.6
무안군,숙박,522013,3.1,60440,11.6
무안군,역사관광,522013,3.1,5535,1.1
무안군,음식,522013,3.1,205381,39.3
무안군,자연관광,522013,3.1,62334,11.9
무안군,체험관광,522013,3.1,68,0.0
보성군,기타관광,334874,2.0,62040,18.5
보성군,레저스포츠,334874,2.0,20777,6.2
보성군,문화관광,334874,2.0,30808,9.2
보성군,쇼핑,334874,2.0,12806,3.8
보성군,숙박,334874,2.0,43231,12.9
보성군,역사관광,334874,2.0,13303,4.0
보성군,음식,334874,2.0,75259,22.5
보성군,자연관광,334874,2.0,61656,18.4
보성군,체험관광,334874,2.0,14994,4.5
순천시,기타관광,1735811,10.3,304300,17.5
순천시,레저스포츠,1735811,10.3,73000,4.2
순천시,문화관광,1735811,10.3,79061,4.6
순천시,쇼핑,1735811,10.3,214897,12.4
순천시,숙박,1735811,10.3,168198,9.7
순천시,역사관광,1735811,10.3,138275,8.0
순천시,음식,1735811,10.3,712815,41.1
순천시,자연관광,1735811,10.3,41070,2.4
순천시,체험관광,1735811,10.3,4195,0.2
신안군,기타관광,322520,1.9,111514,34.6
신안군,레저스포츠,322520,1.9,963,0.3
신안군,문화관광,322520,1.9,44996,14.0
신안군,쇼핑,322520,1.9,1634,0.5
신안군,숙박,322520,1.9,56091,17.4
