언어명,시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,사용자방문건수
영어권,전주시 완산구,전라북도,Jeonju Hanok Village [Slow City] (전북 전주 한옥마을 [슬로시티]),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264285,인문(문화/예술/역사),역사관광지,민속마을,9324
영어권,익산시,전라북도,Seodong Park (서동공원),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1607539,인문(문화/예술/역사),휴양관광지,공원,3016
영어권,정읍시,전라북도,Naejangsan National Park (내장산국립공원),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264295,자연,자연관광지,국립공원,2358
영어권,전주시 완산구,전라북도,Gyeonggijeon Shrine (경기전),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264419,인문(문화/예술/역사),역사관광지,고궁,1198
영어권,전주시 완산구,전라북도,Jeondong Catholic Cathedral (전주 전동성당),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264421,인문(문화/예술/역사),역사관광지,종교성지,720
영어권,무주군,전라북도,Deogyusan Ski Resort (무주덕유산리조트 스키장),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=266854,레포츠,육상 레포츠,스키/스노보드,701
영어권,완주군,전라북도,Daedunsan Provincial Park (Jeollabuk-do Section) (대둔산도립공원(전북)),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1343869,자연,자연관광지,도립공원,672
영어권,진안군,전라북도,Tapsa Temple (마이산 탑사),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=825958,인문(문화/예술/역사),역사관광지,사찰,644
영어권,전주시 완산구,전라북도,Omokdae and Imokdae Historic Sites (오목대와 이목대),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1265332,인문(문화/예술/역사),역사관광지,유적지/사적지,562
영어권,전주시 완산구,전라북도,Jeonju Korean Traditional Wine Museum (전주 전통술박물관),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=268159,인문(문화/예술/역사),문화시설,박물관,560
