언어명,시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,사용자방문건수
일본어,전주시 완산구,전라북도,全州韓屋村［スロ?シティ］（전주한옥마을[슬로시티]）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281660,인문(문화/예술/역사),역사관광지,민속마을,1087
일본어,군산시,전라북도,群山 時間旅行村（군산 시간여행마을）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2652607,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,271
일본어,남원시,전라북도,?寒?苑（광한루원）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=282137,인문(문화/예술/역사),역사관광지,유적지/사적지,204
일본어,전주시 완산구,전라북도,慶基殿（경기전）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281887,인문(문화/예술/역사),역사관광지,고궁,200
일본어,전주시 덕진구,전라북도,?津公園（덕진공원）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281885,인문(문화/예술/역사),휴양관광지,공원,134
일본어,전주시 완산구,전라북도,全州?校（전주향교）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281849,인문(문화/예술/역사),역사관광지,유적지/사적지,134
일본어,진안군,전라북도,馬耳山塔寺（마이산 탑사）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1331358,인문(문화/예술/역사),역사관광지,사찰,112
일본어,군산시,전라북도,京岩洞線路村（경암동 철길마을）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2619984,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,96
일본어,익산시,전라북도,益山?陵（익산 쌍릉）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1594610,인문(문화/예술/역사),역사관광지,유적지/사적지,94
일본어,군산시,전라북도,東?寺（群山）（동국사（군산））,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1412758,인문(문화/예술/역사),역사관광지,사찰,74
일본어,전주시 완산구,전라북도,全州?統韓紙院（전주전통한지원）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1697081,인문(문화/예술/역사),체험관광지,이색체험,70
일본어,정읍시,전라북도,??山?立公園（내장산국립공원）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281675,자연,자연관광지,국립공원,61
일본어,전주시 덕진구,전라북도,韓?道路公社樹木園（한국도로공사수목원）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1910212,자연,자연관광지,수목원,59
일본어,전주시 덕진구,전라북도,全州動物園（전주동물원）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1994050,자연,자연관광지,자연생태관광지,58
일본어,고창군,전라북도,高敞支石墓遺跡[ユネスコ世界遺産（文化遺産）]（고창 고인돌 유적 [유네스코 세계문화유산]）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=282126,인문(문화/예술/역사),역사관광지,유적지/사적지,52
일본어,정읍시,전라북도,東?農民革命記念館（동학농민혁명기념관）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1594623,인문(문화/예술/역사),문화시설,기념관,49
일본어,전주시 완산구,전라북도,全州豊南門（전주 풍남문）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281881,인문(문화/예술/역사),역사관광지,문,44
일본어,익산시,전라북도,益山 王宮里五重石塔（익산 왕궁리 오층석탑）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1594585,인문(문화/예술/역사),역사관광지,유적지/사적지,44
일본어,전주시 완산구,전라북도,全州殿洞聖堂（전주전동성당）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281882,인문(문화/예술/역사),역사관광지,종교성지,44
