언어명,시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,사용자방문건수
중간체,전주시 완산구,전라북도,全州?屋村[慢城]전주한옥마을[슬로시티],https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=331227,인문(문화/예술/역사),역사관광지,민속마을,422
중간체,남원시,전라북도,?寒?苑(광한루원),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=331476,인문(문화/예술/역사),역사관광지,유적지/사적지,122
중간체,전주시 덕진구,전라북도,全州?物?(전주동물원),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=1996433,자연,자연관광지,자연생태관광지,94
중간체,고창군,전라북도,大?王??苑??보리나라 학원농장,https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=1353669,인문(문화/예술/역사),산업관광지,기타,86
중간체,정읍시,전라북도,羽化亭(?藏山)우화정(내장산),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=1732193,자연,자연관광지,호수,84
중간체,김제시,전라북도,碧骨堤?耕文化博物?(벽골제 농경문화 박물관),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=1572886,인문(문화/예술/역사),문화시설,박물관,84
중간체,진안군,전라북도,?耳山道立公?(마이산도립공원),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=331228,자연,자연관광지,도립공원,75
중간체,부안군,전라북도,?山半??立公?(변산반도국립공원),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=331206,자연,자연관광지,국립공원,74
중간체,전주시 덕진구,전라북도,???音文化殿堂(한국소리문화의전당),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=1567509,인문(문화/예술/역사),문화시설,공연장,74
중간체,무주군,전라북도,德川?院(덕천서원),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=1835781,인문(문화/예술/역사),역사관광지,유적지/사적지,72
중간체,무주군,전라북도,?立跆拳道院국립태권도원,https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=1904678,인문(문화/예술/역사),문화시설,문화전수시설,72
중간체,남원시,전라북도,智?山?立公?(南原)지리산국립공원(남원),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=1330725,자연,자연관광지,국립공원,70
