기초지자체,티맵카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
고창군,기타관광,597743,4.3,12755,2.1
고창군,레저스포츠,597743,4.3,55674,9.3
고창군,문화관광,597743,4.3,51665,8.6
고창군,쇼핑,597743,4.3,5225,0.9
고창군,숙박,597743,4.3,58480,9.8
고창군,역사관광,597743,4.3,120435,20.1
고창군,음식,597743,4.3,145540,24.3
고창군,자연관광,597743,4.3,100689,16.8
고창군,체험관광,597743,4.3,47280,7.9
군산시,기타관광,2687491,19.4,226871,8.4
군산시,레저스포츠,2687491,19.4,67132,2.5
군산시,문화관광,2687491,19.4,177773,6.6
군산시,쇼핑,2687491,19.4,425360,15.8
군산시,숙박,2687491,19.4,322380,12.0
군산시,역사관광,2687491,19.4,37514,1.4
군산시,음식,2687491,19.4,1153923,42.9
군산시,자연관광,2687491,19.4,275727,10.3
군산시,체험관광,2687491,19.4,811,0.0
김제시,기타관광,475987,3.4,27306,5.7
김제시,레저스포츠,475987,3.4,43747,9.2
김제시,문화관광,475987,3.4,39403,8.3
김제시,쇼핑,475987,3.4,37781,7.9
김제시,숙박,475987,3.4,19269,4.0
김제시,역사관광,475987,3.4,53453,11.2
김제시,음식,475987,3.4,213305,44.8
김제시,자연관광,475987,3.4,39800,8.4
김제시,체험관광,475987,3.4,1923,0.4
남원시,기타관광,740832,5.3,123035,16.6
남원시,레저스포츠,740832,5.3,64838,8.8
남원시,문화관광,740832,5.3,51061,6.9
남원시,쇼핑,740832,5.3,41785,5.6
남원시,숙박,740832,5.3,167950,22.7
남원시,역사관광,740832,5.3,29246,3.9
남원시,음식,740832,5.3,222184,30.0
남원시,자연관광,740832,5.3,40386,5.5
남원시,체험관광,740832,5.3,347,0.0
무주군,기타관광,549019,4.0,51677,9.4
무주군,레저스포츠,549019,4.0,57473,10.5
무주군,문화관광,549019,4.0,97137,17.7
무주군,쇼핑,549019,4.0,6797,1.2
무주군,숙박,549019,4.0,160259,29.2
무주군,역사관광,549019,4.0,17449,3.2
무주군,음식,549019,4.0,116468,21.2
무주군,자연관광,549019,4.0,40869,7.4
무주군,체험관광,549019,4.0,890,0.2
부안군,기타관광,1005207,7.3,134555,13.4
부안군,레저스포츠,1005207,7.3,23023,2.3
부안군,문화관광,1005207,7.3,46670,4.6
부안군,쇼핑,1005207,7.3,40537,4.0
부안군,숙박,1005207,7.3,243204,24.2
부안군,역사관광,1005207,7.3,56806,5.7
부안군,음식,1005207,7.3,190788,19.0
부안군,자연관광,1005207,7.3,267466,26.6
부안군,체험관광,1005207,7.3,2158,0.2
순창군,기타관광,268476,1.9,58003,21.6
순창군,레저스포츠,268476,1.9,11446,4.3
순창군,문화관광,268476,1.9,24094,9.0
순창군,쇼핑,268476,1.9,3870,1.4
순창군,숙박,268476,1.9,17418,6.5
순창군,역사관광,268476,1.9,32956,12.3
순창군,음식,268476,1.9,62341,23.2
순창군,자연관광,268476,1.9,54552,20.3
순창군,체험관광,268476,1.9,3796,1.4
완주군,기타관광,734270,5.3,49670,6.8
완주군,레저스포츠,734270,5.3,24999,3.4
완주군,문화관광,734270,5.3,70620,9.6
완주군,쇼핑,734270,5.3,14149,1.9
완주군,숙박,734270,5.3,146500,20.0
완주군,역사관광,734270,5.3,32508,4.4
완주군,음식,734270,5.3,344369,46.9
완주군,자연관광,734270,5.3,45022,6.1
완주군,체험관광,734270,5.3,6433,0.9
익산시,기타관광,1277392,9.2,231443,18.1
익산시,레저스포츠,1277392,9.2,65110,5.1
익산시,문화관광,1277392,9.2,163018,12.8
익산시,쇼핑,1277392,9.2,147541,11.6
익산시,숙박,1277392,9.2,96853,7.6
익산시,역사관광,1277392,9.2,47238,3.7
익산시,음식,1277392,9.2,510103,39.9
익산시,자연관광,1277392,9.2,5296,0.4
익산시,체험관광,1277392,9.2,10790,0.8
임실군,기타관광,220839,1.6,34265,15.5
